year,qtr,state_fips,low,high
2008,2,37,1.84,2.06
2008,2,38,.4,1.11
2008,2,39,1.5,1.6
2008,2,40,1.32,1.4
2008,2,41,2.06,
2008,2,42,1.4,1.5
2008,2,44,2.06,
2008,2,45,2.06,
2008,2,46,1.5,1.6
2008,2,47,1.6,1.72
2008,2,48,1.24,1.32
2008,2,49,2.06,
2008,2,50,1.6,1.72
2008,2,51,2.06,
2008,2,53,2.06,
2008,2,54,1.32,1.4
2008,2,55,1.4,1.5
2008,2,56,1.32,1.4
2008,3,01,1.6,1.72
2008,3,02,1.72,1.84
2008,3,04,2.06,
2008,3,05,1.4,1.5
2008,3,06,2.06,
2008,3,08,2.06,
2008,3,09,1.72,1.84
2008,3,10,1.72,1.84
2008,3,11,.4,1.11
2008,3,12,2.06,
2008,3,13,2.06,
2008,3,15,2.06,
2008,3,16,2.06,
2008,3,17,1.72,1.84
2008,3,18,1.6,1.72
2008,3,19,1.32,1.4
2008,3,20,1.32,1.4
2008,3,21,1.5,1.6
2008,3,22,1.32,1.4
2008,3,23,1.84,2.06
2008,3,24,2.06,
2008,3,25,1.6,1.72
2008,3,26,1.72,1.84
2008,3,27,1.72,1.84
2008,3,28,1.6,1.72
2008,3,29,1.6,1.72
2008,3,30,2.06,
2008,3,31,1.32,1.4
2008,3,32,2.06,
2008,3,33,2.06,
2008,3,34,1.84,2.06
2008,3,35,1.84,2.06
2008,3,36,1.32,1.4
2008,3,37,1.84,2.06
2008,3,38,.4,1.11
2008,3,39,1.5,1.6
2008,3,40,1.32,1.4
2008,3,41,2.06,
2008,3,42,1.5,1.6
2008,3,44,2.06,
2008,3,45,2.06,
2008,3,46,1.5,1.6
2008,3,47,1.6,1.72
2008,3,48,1.32,1.4
2008,3,49,2.06,
2008,3,50,1.72,1.84
2008,3,51,2.06,
2008,3,53,2.06,
2008,3,54,1.32,1.4
2008,3,55,1.4,1.5
2008,3,56,1.4,1.5
2008,4,01,1.72,1.84
2008,4,02,1.72,1.84
2008,4,04,2.06,
2008,4,05,1.5,1.6
2008,4,06,2.06,
2008,4,08,2.06,
2008,4,09,1.72,1.84
2008,4,10,1.84,2.06
2008,4,11,.4,1.11
2008,4,12,2.06,
2008,4,13,2.06,
2008,4,15,2.06,
2008,4,16,2.06,
2008,4,17,1.72,1.84
2008,4,18,1.6,1.72
2008,4,19,1.32,1.4
2008,4,20,1.32,1.4
2008,4,21,1.5,1.6
2008,4,22,1.32,1.4
2008,4,23,1.84,2.06
2008,4,24,2.06,
2008,4,25,1.6,1.72
2008,4,26,1.84,2.06
2008,4,27,1.72,1.84
2008,4,28,1.6,1.72
2008,4,29,1.5,1.6
2008,4,30,2.06,
2008,4,31,1.32,1.4
2008,4,32,2.06,
2008,4,33,2.06,
2008,4,34,1.84,2.06
2008,4,35,1.84,2.06
2008,4,36,1.32,1.4
2008,4,37,1.84,2.06
2008,4,38,.4,1.11
2008,4,39,1.6,1.72
2008,4,40,1.32,1.4
2008,4,41,2.06,
2008,4,42,1.5,1.6
2008,4,44,2.06,
2008,4,45,2.06,
2008,4,46,1.6,1.72
2008,4,47,1.6,1.72
2008,4,48,1.32,1.4
2008,4,49,2.06,
2008,4,50,1.72,1.84
2008,4,51,2.06,
2008,4,53,2.06,
2008,4,54,1.32,1.4
2008,4,55,1.5,1.6
2008,4,56,1.4,1.5
2009,1,01,1.72,1.84
2009,1,02,1.72,1.84
2009,1,04,2.06,
2009,1,05,1.4,1.5
2009,1,06,2.06,
2009,1,08,2.06,
2009,1,09,1.72,1.84
2009,1,10,1.84,2.06
2009,1,11,.4,1.11
2009,1,12,2.06,
2009,1,13,2.06,
2009,1,15,2.06,
2009,1,16,2.06,
2009,1,17,1.84,2.06
2009,1,18,1.6,1.72
2009,1,19,1.32,1.4
2009,1,20,1.32,1.4
2009,1,21,1.5,1.6
2009,1,22,1.32,1.4
2009,1,23,1.84,2.06
2009,1,24,2.06,
2009,1,25,1.72,1.84
2009,1,26,1.84,2.06
2009,1,27,1.84,2.06
2009,1,28,1.6,1.72
2009,1,29,1.6,1.72
2009,1,30,2.06,
2009,1,31,1.32,1.4
2009,1,32,2.06,
2009,1,33,2.06,
2009,1,34,2.06,
2009,1,35,1.84,2.06
2009,1,36,1.4,1.5
2009,1,37,2.06,
2009,1,38,.4,1.11
2009,1,39,1.6,1.72
2009,1,40,1.4,1.5
2009,1,41,2.06,
2009,1,42,1.5,1.6
2009,1,44,2.06,
2009,1,45,2.06,
2009,1,46,1.6,1.72
2009,1,47,1.72,1.84
2009,1,48,1.32,1.4
2009,1,49,2.06,
2009,1,50,1.6,1.72
2009,1,51,2.06,
2009,1,53,2.06,
2009,1,54,1.32,1.4
2009,1,55,1.5,1.6
2009,1,56,1.5,1.6
2009,2,01,1.6,1.72
2009,2,02,1.72,1.84
2009,2,04,2.06,
2009,2,05,1.4,1.5
2009,2,06,2.06,
2009,2,08,2.06,
2009,2,09,1.72,1.84
2009,2,10,1.84,2.06
2009,2,11,.4,1.11
2009,2,12,2.06,
2009,2,13,2.06,
2009,2,15,2.06,
2009,2,16,2.06,
2009,2,17,1.72,1.84
2009,2,18,1.6,1.72
2009,2,19,1.32,1.4
2009,2,20,1.32,1.4
2009,2,21,1.5,1.6
2009,2,22,1.32,1.4
2009,2,23,1.84,2.06
2009,2,24,2.06,
2009,2,25,1.6,1.72
2009,2,26,1.84,2.06
2009,2,27,1.72,1.84
2009,2,28,1.6,1.72
2009,2,29,1.6,1.72
2009,2,30,2.06,
2009,2,31,1.32,1.4
2009,2,32,2.06,
2009,2,33,2.06,
2009,2,34,1.84,2.06
2009,2,35,1.84,2.06
2009,2,36,1.32,1.4
2009,2,37,1.84,2.06
2009,2,38,.4,1.11
2009,2,39,1.6,1.72
2009,2,40,1.4,1.5
2009,2,41,2.06,
2009,2,42,1.5,1.6
2009,2,44,2.06,
2009,2,45,2.06,
2009,2,46,1.5,1.6
2009,2,47,1.6,1.72
2009,2,48,1.32,1.4
2009,2,49,2.06,
2009,2,50,1.72,1.84
2009,2,51,2.06,
2009,2,53,2.06,
2009,2,54,1.32,1.4
2009,2,55,1.5,1.6
2009,2,56,1.5,1.6
2009,3,01,1.6,1.72
2009,3,02,1.72,1.84
2009,3,04,2.06,
2009,3,05,1.4,1.5
2009,3,06,2.06,
2009,3,08,2.06,
2009,3,09,1.84,2.06
2009,3,10,1.72,1.84
2009,3,11,.4,1.11
2009,3,12,2.06,
2009,3,13,2.06,
2009,3,15,2.06,
2009,3,16,2.06,
2009,3,17,1.72,1.84
2009,3,18,1.6,1.72
2009,3,19,1.4,1.5
2009,3,20,1.32,1.4
2009,3,21,1.5,1.6
2009,3,22,1.4,1.5
2009,3,23,1.84,2.06
2009,3,24,2.06,
2009,3,25,1.6,1.72
2009,3,26,1.84,2.06
2009,3,27,1.84,2.06
2009,3,28,1.6,1.72
2009,3,29,1.6,1.72
2009,3,30,2.06,
2009,3,31,1.32,1.4
2009,3,32,2.06,
2009,3,33,2.06,
2009,3,34,2.06,
2009,3,35,1.84,2.06
2009,3,36,1.4,1.5
2009,3,37,1.84,2.06
2009,3,38,.4,1.11
2009,3,39,1.6,1.72
2009,3,40,1.4,1.5
2009,3,41,2.06,
2009,3,42,1.5,1.6
2009,3,44,2.06,
2009,3,45,2.06,
2009,3,46,1.5,1.6
2009,3,47,1.72,1.84
2009,3,48,1.32,1.4
2009,3,49,2.06,
2009,3,50,1.6,1.72
2009,3,51,2.06,
2009,3,53,2.06,
2009,3,54,1.32,1.4
2009,3,55,1.5,1.6
2009,3,56,1.5,1.6
2009,4,01,1.6,1.72
2009,4,02,1.6,1.72
2009,4,04,2.06,
2009,4,05,1.4,1.5
2009,4,06,2.06,
2009,4,08,2.06,
2009,4,09,1.72,1.84
2009,4,10,1.84,2.06
2009,4,11,.4,1.11
2009,4,12,2.06,
2009,4,13,2.06,
2009,4,15,2.06,
2009,4,16,2.06,
2009,4,17,1.72,1.84
2009,4,18,1.6,1.72
2009,4,19,1.32,1.4
2009,4,20,1.32,1.4
2009,4,21,1.4,1.5
2009,4,22,1.32,1.4
2009,4,23,1.84,2.06
2009,4,24,2.06,
2009,4,25,1.6,1.72
2009,4,26,1.84,2.06
2009,4,27,1.72,1.84
2009,4,28,1.6,1.72
2009,4,29,1.6,1.72
2009,4,30,2.06,
2009,4,31,1.32,1.4
2009,4,32,2.06,
2009,4,33,2.06,
2009,4,34,1.84,2.06
2009,4,35,1.84,2.06
2009,4,36,1.32,1.4
2009,4,37,1.84,2.06
2009,4,38,.4,1.11
2009,4,39,1.5,1.6
2009,4,40,1.4,1.5
2009,4,41,2.06,
2009,4,42,1.4,1.5
2009,4,44,1.84,2.06
2009,4,45,2.06,
2009,4,46,1.6,1.72
2009,4,47,1.6,1.72
2009,4,48,1.32,1.4
2009,4,49,2.06,
2009,4,50,1.6,1.72
2009,4,51,2.06,
2009,4,53,2.06,
2009,4,54,1.32,1.4
2009,4,55,1.5,1.6
2009,4,56,1.6,1.72
2010,1,01,1.72,1.84
2010,1,02,1.72,1.84
2010,1,04,2.06,
2010,1,05,1.5,1.6
2010,1,06,2.06,
2010,1,08,2.06,
2010,1,09,1.72,1.84
2010,1,10,1.84,2.06
2010,1,11,.4,1.11
2010,1,12,2.06,
2010,1,13,2.06,
2010,1,15,2.06,
2010,1,16,2.06,
2010,1,17,1.84,2.06
2010,1,18,1.6,1.72
2010,1,19,1.4,1.5
2010,1,20,1.4,1.5
2010,1,21,1.5,1.6
2010,1,22,1.4,1.5
2010,1,23,1.84,2.06
2010,1,24,2.06,
2010,1,25,1.72,1.84
2010,1,26,1.84,2.06
2010,1,27,1.84,2.06
2010,1,28,1.6,1.72
2010,1,29,1.6,1.72
2010,1,30,2.06,
2010,1,31,1.4,1.5
2010,1,32,2.06,
2010,1,33,2.06,
2010,1,34,2.06,
2010,1,35,1.84,2.06
2010,1,36,1.32,1.4
2010,1,37,2.06,
2010,1,38,.4,1.11
2010,1,39,1.6,1.72
2010,1,40,1.4,1.5
2010,1,41,2.06,
2010,1,42,1.5,1.6
2010,1,44,2.06,
2010,1,45,2.06,
2010,1,46,1.5,1.6
2010,1,47,1.72,1.84
2010,1,48,1.32,1.4
2010,1,49,2.06,
2010,1,50,1.72,1.84
2010,1,51,2.06,
2010,1,53,2.06,
2010,1,54,1.32,1.4
2010,1,55,1.5,1.6
2010,1,56,1.5,1.6
2010,2,01,1.6,1.72
2010,2,02,1.6,1.72
2010,2,04,2.06,
2010,2,05,1.4,1.5
2010,2,06,2.06,
2010,2,08,2.06,
2010,2,09,1.6,1.72
2010,2,10,1.72,1.84
2010,2,11,.4,1.11
2010,2,12,2.06,
2010,2,13,1.84,2.06
2010,2,15,2.06,
2010,2,16,2.06,
2010,2,17,1.6,1.72
2010,2,18,1.5,1.6
2010,2,19,1.32,1.4
2010,2,20,1.32,1.4
2010,2,21,1.4,1.5
2010,2,22,1.32,1.4
2010,2,23,1.84,2.06
2010,2,24,2.06,
2010,2,25,1.5,1.6
2010,2,26,1.72,1.84
2010,2,27,1.72,1.84
2010,2,28,1.5,1.6
2010,2,29,1.5,1.6
2010,2,30,1.84,2.06
2010,2,31,1.24,1.32
2010,2,32,2.06,
2010,2,33,1.84,2.06
2010,2,34,1.84,2.06
2010,2,35,1.72,1.84
2010,2,36,1.24,1.32
2010,2,37,1.84,2.06
2010,2,38,.4,1.11
2010,2,39,1.5,1.6
2010,2,40,1.32,1.4
2010,2,41,2.06,
2010,2,42,1.4,1.5
2010,2,44,1.84,2.06
2010,2,45,2.06,
2010,2,46,1.5,1.6
2010,2,47,1.6,1.72
2010,2,48,1.24,1.32
2010,2,49,2.06,
2010,2,50,1.6,1.72
2010,2,51,2.06,
2010,2,53,2.06,
2010,2,54,1.24,1.32
2010,2,55,1.4,1.5
2010,2,56,1.5,1.6
2010,3,01,1.6,1.72
2010,3,02,1.6,1.72
2010,3,04,2.06,
2010,3,05,1.32,1.4
2010,3,06,2.06,
2010,3,08,2.06,
2010,3,09,1.72,1.84
2010,3,10,1.72,1.84
2010,3,11,.4,1.11
2010,3,12,2.06,
2010,3,13,1.84,2.06
2010,3,15,2.06,
2010,3,16,2.06,
2010,3,17,1.6,1.72
2010,3,18,1.5,1.6
2010,3,19,1.32,1.4
2010,3,20,1.32,1.4
2010,3,21,1.4,1.5
2010,3,22,1.32,1.4
2010,3,23,1.84,2.06
2010,3,24,2.06,
2010,3,25,1.5,1.6
2010,3,26,1.6,1.72
2010,3,27,1.72,1.84
2010,3,28,1.5,1.6
2010,3,29,1.5,1.6
2010,3,30,1.84,2.06
2010,3,31,1.24,1.32
2010,3,32,2.06,
2010,3,33,1.84,2.06
2010,3,34,1.84,2.06
2010,3,35,1.72,1.84
2010,3,36,1.24,1.32
2010,3,37,1.84,2.06
2010,3,38,.4,1.11
2010,3,39,1.5,1.6
2010,3,40,1.32,1.4
2010,3,41,2.06,
2010,3,42,1.4,1.5
2010,3,44,1.84,2.06
2010,3,45,2.06,
2010,3,46,1.5,1.6
2010,3,47,1.6,1.72
2010,3,48,1.24,1.32
2010,3,49,2.06,
2010,3,50,1.6,1.72
2010,3,51,2.06,
2010,3,53,2.06,
2010,3,54,1.24,1.32
2010,3,55,1.4,1.5
2010,3,56,1.5,1.6
2010,4,01,1.6,1.72
2010,4,02,1.6,1.72
2010,4,04,2.06,
2010,4,05,1.32,1.4
2010,4,06,2.06,
2010,4,08,2.06,
2010,4,09,1.72,1.84
2010,4,10,1.72,1.84
2010,4,11,.4,1.11
2010,4,12,2.06,
2010,4,13,1.84,2.06
2010,4,15,2.06,
2010,4,16,2.06,
2010,4,17,1.6,1.72
2010,4,18,1.4,1.5
2010,4,19,1.32,1.4
2010,4,20,1.24,1.32
2010,4,21,1.4,1.5
2010,4,22,1.32,1.4
2010,4,23,1.84,2.06
2010,4,24,2.06,
2010,4,25,1.5,1.6
2010,4,26,1.6,1.72
2010,4,27,1.6,1.72
2010,4,28,1.5,1.6
2010,4,29,1.4,1.5
2010,4,30,1.84,2.06
2010,4,31,1.11,1.24
2010,4,32,2.06,
2010,4,33,1.84,2.06
2010,4,34,1.84,2.06
2010,4,35,1.72,1.84
2010,4,36,1.24,1.32
2010,4,37,1.84,2.06
2010,4,38,.4,1.11
2010,4,39,1.4,1.5
2010,4,40,1.32,1.4
2010,4,41,2.06,
2010,4,42,1.4,1.5
2010,4,44,1.84,2.06
2010,4,45,2.06,
2010,4,46,1.4,1.5
2010,4,47,1.5,1.6
2010,4,48,1.11,1.24
2010,4,49,1.84,2.06
2010,4,50,1.6,1.72
2010,4,51,2.06,
2010,4,53,2.06,
2010,4,54,1.24,1.32
2010,4,55,1.32,1.4
2010,4,56,1.4,1.5
2011,1,01,1.6,1.72
2011,1,02,1.6,1.72
2011,1,04,2.06,
2011,1,05,1.4,1.5
2011,1,06,2.06,
2011,1,08,2.06,
2011,1,09,1.6,1.72
2011,1,10,1.72,1.84
2011,1,11,.4,1.11
2011,1,12,2.06,
2011,1,13,1.84,2.06
2011,1,15,2.06,
2011,1,16,2.06,
2011,1,17,1.6,1.72
2011,1,18,1.5,1.6
2011,1,19,1.32,1.4
2011,1,20,1.32,1.4
2011,1,21,1.4,1.5
2011,1,22,1.32,1.4
2011,1,23,1.84,2.06
2011,1,24,2.06,
2011,1,25,1.6,1.72
2011,1,26,1.6,1.72
2011,1,27,1.6,1.72
2011,1,28,1.5,1.6
2011,1,29,1.5,1.6
2011,1,30,1.84,2.06
2011,1,31,1.32,1.4
2011,1,32,2.06,
2011,1,33,1.84,2.06
2011,1,34,1.84,2.06
2011,1,35,1.84,2.06
2011,1,36,1.24,1.32
2011,1,37,1.84,2.06
2011,1,38,.4,1.11
2011,1,39,1.5,1.6
2011,1,40,1.32,1.4
2011,1,41,2.06,
2011,1,42,1.4,1.5
2011,1,44,1.84,2.06
2011,1,45,2.06,
2011,1,46,1.5,1.6
2011,1,47,1.6,1.72
2011,1,48,1.24,1.32
2011,1,49,2.06,
2011,1,50,1.6,1.72
2011,1,51,2.06,
2011,1,53,2.06,
2011,1,54,1.24,1.32
2011,1,55,1.4,1.5
2011,1,56,1.4,1.5
2011,2,01,1.5,1.6
2011,2,02,1.6,1.72
2011,2,04,2.06,
2011,2,05,1.32,1.4
2011,2,06,2.06,
2011,2,08,2.06,
2011,2,09,1.6,1.72
2011,2,10,1.6,1.72
2011,2,11,.4,1.11
2011,2,12,2.06,
2011,2,13,1.72,1.84
2011,2,15,2.06,
2011,2,16,2.06,
2011,2,17,1.5,1.6
2011,2,18,1.4,1.5
2011,2,19,1.32,1.4
2011,2,20,1.24,1.32
2011,2,21,1.32,1.4
2011,2,22,1.24,1.32
2011,2,23,1.84,2.06
2011,2,24,2.06,
2011,2,25,1.4,1.5
2011,2,26,1.5,1.6
2011,2,27,1.6,1.72
2011,2,28,1.5,1.6
2011,2,29,1.4,1.5
2011,2,30,1.84,2.06
2011,2,31,1.24,1.32
2011,2,32,2.06,
2011,2,33,1.84,2.06
2011,2,34,1.84,2.06
2011,2,35,1.72,1.84
2011,2,36,1.11,1.24
2011,2,37,1.84,2.06
2011,2,38,.4,1.11
2011,2,39,1.4,1.5
2011,2,40,1.24,1.32
2011,2,41,2.06,
2011,2,42,1.32,1.4
2011,2,44,1.84,2.06
2011,2,45,1.84,2.06
2011,2,46,1.5,1.6
2011,2,47,1.5,1.6
2011,2,48,1.11,1.24
2011,2,49,1.84,2.06
2011,2,50,1.6,1.72
2011,2,51,2.06,
2011,2,53,2.06,
2011,2,54,1.11,1.24
2011,2,55,1.32,1.4
2011,2,56,1.32,1.4
2011,3,01,1.5,1.6
2011,3,02,1.6,1.72
2011,3,04,2.06,
2011,3,05,1.32,1.4
2011,3,06,2.06,
2011,3,08,1.84,2.06
2011,3,09,1.6,1.72
2011,3,10,1.6,1.72
2011,3,11,.4,1.11
2011,3,12,2.06,
2011,3,13,1.72,1.84
2011,3,15,2.06,
2011,3,16,2.06,
2011,3,17,1.5,1.6
2011,3,18,1.4,1.5
2011,3,19,1.24,1.32
2011,3,20,1.24,1.32
2011,3,21,1.32,1.4
2011,3,22,1.24,1.32
2011,3,23,1.72,1.84
2011,3,24,2.06,
2011,3,25,1.4,1.5
2011,3,26,1.5,1.6
2011,3,27,1.5,1.6
2011,3,28,1.4,1.5
2011,3,29,1.4,1.5
2011,3,30,1.72,1.84
2011,3,31,1.24,1.32
2011,3,32,2.06,
2011,3,33,1.84,2.06
2011,3,34,1.84,2.06
2011,3,35,1.72,1.84
2011,3,36,1.24,1.32
2011,3,37,1.72,1.84
2011,3,38,.4,1.11
2011,3,39,1.32,1.4
2011,3,40,1.24,1.32
2011,3,41,2.06,
2011,3,42,1.32,1.4
2011,3,44,1.72,1.84
2011,3,45,1.84,2.06
2011,3,46,1.4,1.5
2011,3,47,1.4,1.5
2011,3,48,1.11,1.24
2011,3,49,1.84,2.06
2011,3,50,1.6,1.72
2011,3,51,2.06,
2011,3,53,2.06,
2011,3,54,1.11,1.24
2011,3,55,1.32,1.4
2011,3,56,1.32,1.4
2011,4,01,1.6,1.72
2011,4,02,1.4,1.5
2011,4,04,2.06,
2011,4,05,1.32,1.4
2011,4,06,2.06,
2011,4,08,2.06,
2011,4,09,1.72,1.84
2011,4,10,1.72,1.84
2011,4,11,.4,1.11
2011,4,12,2.06,
2011,4,13,1.84,2.06
2011,4,15,2.06,
2011,4,16,2.06,
2011,4,17,1.5,1.6
2011,4,18,1.4,1.5
2011,4,19,1.32,1.4
2011,4,20,1.24,1.32
2011,4,21,1.4,1.5
2011,4,22,1.32,1.4
2011,4,23,1.84,2.06
2011,4,24,2.06,
2011,4,25,1.5,1.6
2011,4,26,1.5,1.6
2011,4,27,1.6,1.72
2011,4,28,1.5,1.6
2011,4,29,1.4,1.5
2011,4,30,1.84,2.06
2011,4,31,1.24,1.32
2011,4,32,2.06,
2011,4,33,1.84,2.06
2011,4,34,1.84,2.06
2011,4,35,1.84,2.06
2011,4,36,1.24,1.32
2011,4,37,1.84,2.06
2011,4,38,.4,1.11
2011,4,39,1.4,1.5
2011,4,40,1.24,1.32
2011,4,41,2.06,
2011,4,42,1.4,1.5
2011,4,44,1.84,2.06
2011,4,45,1.84,2.06
2011,4,46,1.5,1.6
2011,4,47,1.5,1.6
2011,4,48,1.11,1.24
2011,4,49,1.84,2.06
2011,4,50,1.6,1.72
2011,4,51,2.06,
2011,4,53,2.06,
2011,4,54,1.24,1.32
2011,4,55,1.4,1.5
2011,4,56,1.4,1.5
2012,1,01,1.5,1.6
2012,1,02,1.5,1.6
2012,1,04,1.84,2.06
2012,1,05,1.24,1.32
2012,1,06,2.06,
2012,1,08,1.84,2.06
2012,1,09,1.5,1.6
2012,1,10,1.6,1.72
2012,1,11,.4,1.11
2012,1,12,2.06,
2012,1,13,1.72,1.84
2012,1,15,2.06,
2012,1,16,2.06,
2012,1,17,1.4,1.5
2012,1,18,1.32,1.4
2012,1,19,1.24,1.32
2012,1,20,1.11,1.24
2012,1,21,1.32,1.4
2012,1,22,1.24,1.32
2012,1,23,1.72,1.84
2012,1,24,2.06,
2012,1,25,1.4,1.5
2012,1,26,1.4,1.5
2012,1,27,1.5,1.6
2012,1,28,1.4,1.5
2012,1,29,1.32,1.4
2012,1,30,1.72,1.84
2012,1,31,1.11,1.24
2012,1,32,2.06,
2012,1,33,1.72,1.84
2012,1,34,1.72,1.84
2012,1,35,1.72,1.84
2012,1,36,1.11,1.24
2012,1,37,1.72,1.84
2012,1,38,.4,1.11
2012,1,39,1.32,1.4
2012,1,40,1.24,1.32
2012,1,41,1.84,2.06
2012,1,42,1.32,1.4
2012,1,44,1.72,1.84
2012,1,45,1.84,2.06
2012,1,46,1.4,1.5
2012,1,47,1.4,1.5
2012,1,48,1.11,1.24
2012,1,49,1.84,2.06
2012,1,50,1.5,1.6
2012,1,51,1.84,2.06
2012,1,53,2.06,
2012,1,54,1.11,1.24
2012,1,55,1.32,1.4
2012,1,56,1.32,1.4
2012,2,01,1.5,1.6
2012,2,02,1.5,1.6
2012,2,04,1.84,2.06
2012,2,05,1.24,1.32
2012,2,06,2.06,
2012,2,08,1.84,2.06
2012,2,09,1.6,1.72
2012,2,10,1.6,1.72
2012,2,11,.4,1.11
2012,2,12,2.06,
2012,2,13,1.6,1.72
2012,2,15,2.06,
2012,2,16,1.84,2.06
2012,2,17,1.4,1.5
2012,2,18,1.32,1.4
2012,2,19,1.24,1.32
2012,2,20,1.11,1.24
2012,2,21,1.24,1.32
2012,2,22,1.24,1.32
2012,2,23,1.72,1.84
2012,2,24,2.06,
2012,2,25,1.4,1.5
2012,2,26,1.4,1.5
2012,2,27,1.5,1.6
2012,2,28,1.4,1.5
2012,2,29,1.32,1.4
2012,2,30,1.72,1.84
2012,2,31,1.11,1.24
2012,2,32,1.84,2.06
2012,2,33,1.72,1.84
2012,2,34,1.84,2.06
2012,2,35,1.6,1.72
2012,2,36,1.11,1.24
2012,2,37,1.72,1.84
2012,2,38,.4,1.11
2012,2,39,1.32,1.4
2012,2,40,1.24,1.32
2012,2,41,1.84,2.06
2012,2,42,1.32,1.4
2012,2,44,1.72,1.84
2012,2,45,1.84,2.06
2012,2,46,1.4,1.5
2012,2,47,1.4,1.5
2012,2,48,.4,1.11
2012,2,49,1.72,1.84
2012,2,50,1.5,1.6
2012,2,51,1.84,2.06
2012,2,53,2.06,
2012,2,54,1.11,1.24
2012,2,55,1.32,1.4
2012,2,56,1.32,1.4
2012,3,01,1.5,1.6
2012,3,02,1.6,1.72
2012,3,04,1.84,2.06
2012,3,05,1.32,1.4
2012,3,06,2.06,
2012,3,08,1.84,2.06
2012,3,09,1.6,1.72
2012,3,10,1.6,1.72
2012,3,11,.4,1.11
2012,3,12,2.06,
2012,3,13,1.6,1.72
2012,3,15,2.06,
2012,3,16,2.06,
2012,3,17,1.4,1.5
2012,3,18,1.32,1.4
2012,3,19,1.24,1.32
2012,3,20,1.24,1.32
2012,3,21,1.32,1.4
2012,3,22,1.24,1.32
2012,3,23,1.72,1.84
2012,3,24,2.06,
2012,3,25,1.4,1.5
2012,3,26,1.4,1.5
2012,3,27,1.4,1.5
2012,3,28,1.4,1.5
2012,3,29,1.32,1.4
2012,3,30,1.72,1.84
2012,3,31,1.11,1.24
2012,3,32,1.84,2.06
2012,3,33,1.72,1.84
2012,3,34,1.72,1.84
2012,3,35,1.72,1.84
2012,3,36,1.11,1.24
2012,3,37,1.72,1.84
2012,3,38,.4,1.11
2012,3,39,1.32,1.4
2012,3,40,1.24,1.32
2012,3,41,1.84,2.06
2012,3,42,1.32,1.4
2012,3,44,1.72,1.84
2012,3,45,1.84,2.06
2012,3,46,1.4,1.5
2012,3,47,1.4,1.5
2012,3,48,1.11,1.24
2012,3,49,1.72,1.84
2012,3,50,1.5,1.6
2012,3,51,1.84,2.06
2012,3,53,1.84,2.06
2012,3,54,1.24,1.32
2012,3,55,1.32,1.4
2012,3,56,1.4,1.5
2012,4,01,1.5,1.6
2012,4,02,1.6,1.72
2012,4,04,1.84,2.06
2012,4,05,1.32,1.4
2012,4,06,2.06,
2012,4,08,1.84,2.06
2012,4,09,1.6,1.72
2012,4,10,1.6,1.72
2012,4,11,.4,1.11
2012,4,12,2.06,
2012,4,13,1.6,1.72
2012,4,15,2.06,
2012,4,16,2.06,
2012,4,17,1.4,1.5
2012,4,18,1.32,1.4
2012,4,19,1.24,1.32
2012,4,20,1.11,1.24
2012,4,21,1.32,1.4
2012,4,22,1.24,1.32
2012,4,23,1.84,2.06
2012,4,24,2.06,
2012,4,25,1.4,1.5
2012,4,26,1.4,1.5
2012,4,27,1.4,1.5
2012,4,28,1.4,1.5
2012,4,29,1.32,1.4
2012,4,30,1.72,1.84
2012,4,31,1.11,1.24
2012,4,32,1.84,2.06
2012,4,33,1.72,1.84
2012,4,34,1.84,2.06
2012,4,35,1.72,1.84
2012,4,36,1.11,1.24
2012,4,37,1.72,1.84
2012,4,38,.4,1.11
2012,4,39,1.32,1.4
2012,4,40,1.11,1.24
2012,4,41,1.84,2.06
2012,4,42,1.32,1.4
2012,4,44,1.72,1.84
2012,4,45,1.84,2.06
2012,4,46,1.4,1.5
2012,4,47,1.4,1.5
2012,4,48,1.11,1.24
2012,4,49,1.72,1.84
2012,4,50,1.5,1.6
2012,4,51,1.84,2.06
2012,4,53,2.06,
2012,4,54,1.24,1.32
2012,4,55,1.24,1.32
2012,4,56,1.32,1.4
2013,1,01,1.5,1.6
2013,1,02,1.5,1.6
2013,1,04,1.84,2.06
2013,1,05,1.24,1.32
2013,1,06,2.06,
2013,1,08,1.84,2.06
2013,1,09,1.5,1.6
2013,1,10,1.5,1.6
2013,1,11,.4,1.11
2013,1,12,1.84,2.06
2013,1,13,1.6,1.72
2013,1,15,2.06,
2013,1,16,1.84,2.06
2013,1,17,1.4,1.5
2013,1,18,1.24,1.32
2013,1,19,1.11,1.24
2013,1,20,1.11,1.24
2013,1,21,1.24,1.32
2013,1,22,1.24,1.32
2013,1,23,1.72,1.84
2013,1,24,2.06,
2013,1,25,1.32,1.4
2013,1,26,1.32,1.4
2013,1,27,1.4,1.5
2013,1,28,1.4,1.5
2013,1,29,1.32,1.4
2013,1,30,1.72,1.84
2013,1,31,1.11,1.24
2013,1,32,1.84,2.06
2013,1,33,1.6,1.72
2013,1,34,1.72,1.84
2013,1,35,1.6,1.72
2013,1,36,1.11,1.24
2013,1,37,1.6,1.72
2013,1,38,.4,1.11
2013,1,39,1.24,1.32
2013,1,40,1.11,1.24
2013,1,41,1.84,2.06
2013,1,42,1.24,1.32
2013,1,44,1.6,1.72
2013,1,45,1.84,2.06
2013,1,46,1.32,1.4
2013,1,47,1.32,1.4
2013,1,48,.4,1.11
2013,1,49,1.72,1.84
2013,1,50,1.5,1.6
